nom,prenom,dateNaissance,numeroLicence,sexe,club,pointsSimple,pointsDouble,pointsMixte
MARCHAND,Pierre,2003-01-14,3015351,HOMME,BC Nantes Ouest,2023,,1823
FERRY,Gauthier,1977-08-17,2233851,HOMME,BC Lille,797,855,659
CARON,Stéphane,1968-05-23,7595669,HOMME,Grand Est Badminton,581,554,639
MICHEL,Huong,2015-10-26,8464596,FEMME,Bad Dijon,419,403,400
LEGROS,Valentin,1998-12-31,9962896,HOMME,Bretagne Badminton,1610,1505,1418
MASSON,Lisa,2003-10-18,7011151,FEMME,BC Amboise,1227,1232,1295
AUBERT,Anaïs,1957-02-05,6313883,FEMME,Bad Dijon,1068,920,976
BUI,Aurélie,2015-03-05,1628699,FEMME,BC Limoges,442,,400
MULLER,Mathieu,1985-07-03,5646656,HOMME,Normandie Badminton,783,783,835
PIRES,Sylvie,2008-05-24,7824674,FEMME,Nouvelle-Aquitaine Bad,894,809,754
MASSON,Jade,2010-04-03,9441311,FEMME,Bad Club Seine,530,408,400
CLEMENT,Yuki,1961-09-03,6271120,FEMME,BC Aix-en-Provence,847,874,771
PREVOT,Manon,1989-04-21,2305016,FEMME,ACBB Boulogne,1545,1400,1450
NICOLAS,Steven,1980-09-14,5301307,HOMME,BC Toulon,742,787,699
MATHIEU,Mathieu,1987-11-18,9510593,HOMME,BC Sélestat,1596,1460,1507
MULLER,Phuong,1977-07-04,2559550,FEMME,BC Caen Maritime,800,788,616
MARTINEZ,Guillaume,1965-06-01,2878690,HOMME,BC Mulhouse,734,666,773
HOANG,Yuki,1979-05-08,5590177,FEMME,BCMS Montpellier,791,675,853
BARREAU,Pauline,1963-12-27,3059740,FEMME,Colmar Bad,629,675,521
DURAND,Maxime,2002-08-02,1652604,HOMME,BC Orléans,1793,1888,1756
MERCIER,Thibaut,1963-03-13,4786737,HOMME,Shuttle Mulhouse,817,811,863
DELORME,Juliette,2013-12-19,9790703,FEMME,BC Toulon,442,400,432
PERRIN,Élodie,2014-08-12,2832832,FEMME,Île-de-France Badminton,461,400,424
SIMON,Mélanie,1966-02-03,1738331,FEMME,BC Thiers,796,758,764
RICHARD,Rin,1970-05-05,2627817,FEMME,BC Tours Nord,542,578,568
WEBER,Ethan,2018-10-02,1525767,HOMME,BC Limoges,429,400,400
DELORME,Pauline,1992-06-30,1975597,FEMME,BC Pau,1919,1910,1853
ROUSSEL,Léonie,1988-08-14,6797629,FEMME,BC Toulon,1092,1006,1046
SANTOS,Luc,1998-06-26,7411851,HOMME,Nouvelle-Aquitaine Bad,1043,938,1032
WAGNER,Amandine,2007-11-22,6074821,FEMME,BC Metz,442,453,459
ROUSSEL,Khoa,1994-03-06,8632300,HOMME,Bad Toulon,849,885,745
CARPENTIER,Thomas,1958-12-14,3267841,HOMME,ASPTT Bordeaux,1291,1384,1115
CHEVALIER,Linh,2008-11-08,2957879,FEMME,BC Charleville,675,739,611
NGUYEN,Steven,1991-05-15,4502478,HOMME,Bad Ain,1109,1044,1186
BRANDT,Loubna,1969-10-04,2492272,FEMME,Bad Ardennes,745,742,624
BLANC,Stéphanie,2008-03-15,4784652,FEMME,BC Thiers,584,665,568
GAGNON,Bryan,1995-12-02,3289919,HOMME,Shuttle Villeurbanne,1951,1905,1914
GAUTHIER,Hugo,1968-03-31,3150374,HOMME,BC Bourg,857,733,927
PICARD,Marie,2010-01-04,4551297,FEMME,Bad Ardennes,,,
BELLAMY,Yann,2017-05-03,6095182,HOMME,Shuttle Nancy,434,400,499
PELLETIER,Yumi,1968-11-01,3721158,FEMME,BC Strasbourg,501,439,562
LAMBERT,Yuki,2011-08-21,7523750,FEMME,BC Sélestat,429,400,400
ADAM,Patrick,2011-04-28,6620938,HOMME,Shuttle Mulhouse,560,440,577
MULLER,Vinh,1994-12-20,2658169,HOMME,Île-de-France Badminton,1848,1801,
FRANCOIS,Valentin,1970-11-29,3206090,HOMME,BC Pau,605,654,443
KLEIN,Adrien,2010-10-02,9944559,HOMME,BC Charleville,417,400,445
ROUSSEAU,Ethan,1998-09-20,1835584,HOMME,BC Nantes Ouest,984,1002,811
NGUYEN,Rémi,1964-06-20,1545026,HOMME,BC Valenciennes,777,765,641
PIRES,Stéphane,2001-12-16,1010882,HOMME,BC Chartres,1521,1562,1382
LEFEVRE,Ethan,1998-06-13,8042764,HOMME,BC Aix-en-Provence,,,
MASSON,Damien,2003-05-22,9461101,HOMME,Île-de-France Badminton,1868,1902,1793
PIRES,Akane,2007-06-13,8784269,FEMME,Bretagne Badminton,652,704,711
SCHWARZ,Vincent,2003-09-01,5898322,HOMME,BC Vichy,1595,1471,1612
HENRY,Sébastien,2017-02-23,7107418,HOMME,Shuttle Grenoble,442,400,
MEYER,Sandrine,1981-02-22,8054889,FEMME,Shuttle Nancy,707,637,579
POULAIN,Catherine,1957-05-19,5087022,FEMME,BC Quimper,694,659,499
BRUN,Sophie,2001-09-23,8111464,FEMME,Bad Saint-Étienne,1606,1532,1528
BONNET,Lucie,1989-02-17,9217863,FEMME,Shuttle Nancy,1447,1481,1452
BECKER,Marie,2014-08-07,1952640,FEMME,PACA Badminton,451,402,400
AUBERT,Yumi,1968-09-25,9955411,FEMME,Racing Club Paris,795,667,782
BARBIER,Robin,1971-08-15,3197790,HOMME,Nouvelle-Aquitaine Bad,598,593,421
PIRES,Romane,2001-08-15,9265942,FEMME,BC Marseille,1677,1541,1499
MERCIER,Margot,1967-08-18,7551438,FEMME,BC Voiron,640,537,
BRUN,Marc,1984-04-02,1034657,HOMME,Shuttle Villeurbanne,801,762,742
THOMAS,Ethan,1989-01-13,8591505,HOMME,Île-de-France Badminton,705,567,
CARPENTIER,Yann,2007-12-09,7539889,HOMME,Nouvelle-Aquitaine Bad,749,815,592
SCHWARZ,Alexia,2005-12-04,6013178,FEMME,Hauts-de-France Bad,1672,1747,1681
PELLETIER,Thu,1987-10-26,9060593,FEMME,Bad Toulon,1553,1618,1477
WEBER,Gilles,1996-04-06,2319852,HOMME,Bad Cambrai,1984,1895,1798
PEREIRA,Adrien,2007-03-28,2220978,HOMME,Chartreuse Badminton,611,476,445
LOPES,Yann,2002-08-23,5589463,HOMME,BC Le Mans,661,674,644
MARTINEZ,Matteo,2010-12-13,9630534,HOMME,BC Thiers,665,649,466
PICARD,Nathalie,1969-11-29,1754679,FEMME,BC Besançon,1176,1053,1086
DURAND,Lucas,1984-02-12,1002018,HOMME,BC Strasbourg,520,477,400
ADAM,Victoire,1976-08-24,3972109,FEMME,Racing Club Paris,675,770,612
PREVOT,Théo,2012-04-01,7107440,HOMME,BC Reims,519,526,400
POULAIN,Erwan,2008-04-26,1903539,HOMME,BC Vichy,780,635,710
PERRIN,Maxime,2018-10-22,9316569,HOMME,ACBB Boulogne,409,400,485
LAMBERT,Manon,1986-03-04,3044480,FEMME,BC Bourg,973,886,1045
VALENTIN,Zoé,1969-08-19,4820764,FEMME,Bad Brest,573,650,416
LE,Laura,1996-09-09,1789750,FEMME,BCMS Montpellier,1111,1178,973
CARON,Anne,2011-06-13,9542043,FEMME,Alsace Badminton,413,454,400
PELLETIER,Amaury,2008-03-30,8010946,HOMME,BC Aix-en-Provence,,,
NGUYEN,Victoire,1955-08-31,3622672,FEMME,Anjou Badminton,665,719,616
PREVOT,Tom,1987-11-26,1764359,HOMME,Shuttle Grenoble,1399,1403,1413
ROBERT,Hieu,2003-01-16,2082430,HOMME,Nouvelle-Aquitaine Bad,1629,1500,1468
WOLFF,Hung,2000-02-24,3485244,HOMME,BC Toulon,512,449,549
FONTAINE,Lucie,1996-09-29,9673780,FEMME,Centre-Val Bad,,,
MEUNIER,Sarah,1993-03-18,5998283,FEMME,Chartreuse Badminton,641,523,669
MOREL,Hoa,1992-12-30,9919418,FEMME,Bad Toulon,640,653,489
GARNIER,Alain,1982-01-26,4329473,HOMME,BC Sète,1577,1587,1650
MAILLOT,Romain,2008-03-05,3960422,HOMME,Bad Finistère,802,753,829
LECONTE,Nina,1995-01-19,9740349,FEMME,Shuttle Mulhouse,590,461,492
GARCIA,Raphaël,2014-02-16,6778598,HOMME,Shuttle Nancy,465,553,431
BRANDT,Laëtitia,2002-03-25,8268178,FEMME,BC Montpellier,2100,2030,2161
GUERIN,Maxime,2009-12-27,7102605,HOMME,Alsace Badminton,557,561,613
TREMBLAY,Damien,2009-08-24,8219447,HOMME,Auvergne Bad,698,568,593
POULAIN,Héloïse,1991-03-14,5868694,FEMME,Pays de Loire Bad,1902,1934,1830
CARPENTIER,Denis,2008-12-28,6041393,HOMME,BC Perpignan,691,791,674
MATHIEU,Juliette,2010-07-22,1919468,FEMME,BC Besançon,606,,630
BELLAMY,Stéphanie,2010-11-04,1611276,FEMME,BCMS Montpellier,,,
BARREAU,Romane,2002-12-05,2609986,FEMME,Picardie Bad,,,
SCHWARZ,Luna,2004-07-30,8585105,FEMME,BC Montpellier,1611,1697,1457
MAILLOT,Axel,1977-01-03,2989272,HOMME,Bad Ardennes,1190,1239,1243
CLEMENT,Axel,2006-11-04,1323425,HOMME,BC Rouen,1028,1128,841
MAILLOT,Gilles,1992-07-01,2299672,HOMME,BC Montpellier,977,972,
BERTRAND,Marc,2010-07-01,2421605,HOMME,ASPTT Lyon,551,620,466
CARPENTIER,Pauline,1986-11-13,7126308,FEMME,BC Orléans,639,582,644
GARNIER,Matteo,1999-12-31,4571174,HOMME,Rhône-Alpes Bad,966,1048,1015
COSTA,Julien,1990-11-23,7100567,HOMME,ESM Vendôme,1005,940,805
WEBER,Gilles,1962-08-12,9854139,HOMME,Bad Club Seine,490,404,
PICARD,Alain,1992-04-19,6242325,HOMME,BC Le Mans,1319,1325,1348
BARREAU,Yasmine,1996-04-11,4307179,FEMME,Shuttle Toulouse,1511,1468,1542
WAGNER,Thibaut,1957-04-21,6624727,HOMME,Bad Dijon,1006,991,978
WEBER,Tanguy,1993-03-12,8194453,HOMME,Bad Hérault,1338,1320,1323
CHARRIER,Philippe,1976-03-12,9391724,HOMME,Shuttle Toulouse,1216,,1045
FERRY,Paul,1957-12-27,6591646,HOMME,BC Chartres,1225,1087,1210
RENARD,Thierry,2007-08-18,9583665,HOMME,Anjou Badminton,840,833,710
COLIN,Vincent,1988-06-04,7324847,HOMME,Bad Club Bordeaux,1134,,1077
MARCHAND,Yuki,2017-09-10,8235206,FEMME,BC Marseille,428,499,400
BOURGEOIS,Claire,1977-07-16,5084352,FEMME,BCMS Montpellier,825,734,905
NGUYEN,Corentin,1955-05-22,8383618,HOMME,Bad Var,489,411,400
MAILLOT,Loïc,1992-06-06,8483535,HOMME,Nouvelle-Aquitaine Bad,1451,1489,1428
BLANC,Tuan,1968-05-12,7523637,HOMME,Alsace Badminton,1035,1006,1057
CLEMENT,Akane,2004-05-31,8439170,FEMME,Rhône-Alpes Bad,1791,1834,1770
FERRY,Théo,2013-07-21,7781943,HOMME,BC Tours Nord,456,400,400
BONNET,Romane,2008-05-31,2737903,FEMME,CS Lunel,509,478,448
MEUNIER,Lan,1966-08-07,7550273,FEMME,BC Fréjus,729,732,558
BLANC,David,2011-12-14,3838554,HOMME,Bad Club Rennes,557,589,556
WEBER,Anh,1987-03-30,4369282,HOMME,BC Douai,871,740,781
MOREL,Haruka,1985-02-04,6116374,FEMME,Auvergne Bad,944,981,780
THOMAS,Stéphane,1987-03-12,9588104,HOMME,BC Caen,1538,,1443
MASSON,Assia,1974-06-19,1151867,FEMME,Hauts-de-France Bad,562,562,
LEFEVRE,Mai,2015-02-05,4853208,FEMME,BC Cholet,426,400,400
ROUX,Hoa,1998-01-02,2792114,FEMME,Chartreuse Badminton,1092,1007,972
FOURNIER,Lucas,1993-12-09,1812501,HOMME,BC Marseille,656,548,726
GIRARD,Alexis,1965-10-25,8502834,HOMME,BC Perpignan,870,921,852
VASSEUR,Raphaël,2013-07-30,4663578,HOMME,BC Strasbourg,419,439,424
MATHIEU,Mickaël,2003-10-29,4867627,HOMME,BC Quimper,,,
GIRARD,Gauthier,1987-09-21,3121548,HOMME,BC Clermont,1523,1540,1342
FERNANDEZ,Célia,1996-01-19,3898524,FEMME,Bad Club Seine,868,884,871
CLEMENT,Léo,1999-09-13,8084548,HOMME,Shuttle Reims,712,565,657
GUERIN,Théo,1992-08-04,3253530,HOMME,BC Lorient,709,628,779
BERNARD,Clémence,2012-02-28,2736923,FEMME,Nouvelle-Aquitaine Bad,432,501,499
FOURNIER,Virginie,2009-08-20,6648208,FEMME,BC Rouen Nord,569,520,400
DO,Pauline,2000-10-11,4531932,FEMME,BC Amboise,981,944,905
CARVALHO,Sylvie,1960-06-15,4588908,FEMME,CS Lunel,1255,1274,1320
BONNET,Emmanuel,2006-08-13,4880735,HOMME,BC Cholet,702,666,630
THOMAS,Anne,1995-10-23,1024396,FEMME,BC Bourg,686,691,536
RICHTER,Phuong,2006-02-18,7367719,FEMME,PUC Badminton,1585,1485,1403
CARON,Xavier,1990-04-21,6647119,HOMME,Bad Brest,689,627,511
GAGNON,Inès,2012-07-29,3077734,FEMME,Bretagne Badminton,401,400,400
RICHTER,Anne,2002-06-19,2923667,FEMME,BC Reims,1784,1763,1834
MATHIEU,Arthur,1988-12-15,3971689,HOMME,BC Paris 15,649,729,631
GAUTHIER,Lucie,1986-01-10,7097380,FEMME,BC Montpellier,546,572,477
GUERIN,Nathan,1992-02-14,2751338,HOMME,Île-de-France Badminton,,,
NGUYEN,Anne,2014-04-13,2671054,FEMME,Bad Hérault,487,427,400
SCHWARZ,Mai,2008-11-19,3413914,FEMME,BC Bayonne,638,647,605
MERCIER,Victoire,1989-07-02,7167995,FEMME,US Créteil Bad,1022,1018,959
BONNET,Léo,1975-09-25,2184696,HOMME,Shuttle Reims,1223,1120,1223
GARCIA,Florian,2012-10-24,9685956,HOMME,BC Grenoble,465,447,400
BRUN,Maxime,1993-04-15,2738237,HOMME,Chartreuse Badminton,550,414,503
ANDRE,Simon,1999-03-19,9451509,HOMME,BC Fréjus,1906,1791,1723
AUBERT,Valérie,1981-03-06,9522972,FEMME,ACBB Boulogne,1138,1155,1155
MEYER,Tanguy,2003-08-25,7273105,HOMME,BCMS Montpellier,930,842,735
ADAM,Luna,1995-09-24,9904595,FEMME,ACBB Boulogne,735,633,648
BUI,Mickaël,1986-02-02,2415278,HOMME,BC Caen Maritime,885,850,795
CHARRIER,Élodie,1987-09-04,1222471,FEMME,ESM Vendôme,1371,1224,1277
BERNARD,Sophie,1989-10-06,9892907,FEMME,Bad Ain,1041,979,1044
GARCIA,Nina,1993-01-05,1088488,FEMME,BCMS Montpellier,887,941,776
MERCIER,Nicolas,1955-12-15,4506540,HOMME,BC Toulon,831,921,651
BLANC,Akane,1962-01-07,4223072,FEMME,PACA Badminton,613,657,602
MICHEL,Baptiste,1990-06-04,9827700,HOMME,BC Charleville,1204,1209,1093
LAURENT,Mai,2016-03-06,3245320,FEMME,Badminton Nice,407,400,400
BERNARD,Yann,1972-03-13,6036277,HOMME,Bad Club Rennes,633,702,479
COTE,Mathilde,2013-11-21,7650866,FEMME,Bad Amiens,407,400,433
ROUX,Paul,1967-10-07,8645920,HOMME,BC Aix-en-Provence,822,784,751
MEUNIER,Alice,1978-01-14,3472758,FEMME,Bad Basque,460,400,509
VASSEUR,Manon,2008-10-28,3415558,FEMME,BC Rouen Nord,713,633,774
LECONTE,Bertrand,1991-11-20,5789641,HOMME,BC Clermont,1863,1867,1774
PETIT,Clara,1960-12-14,7640957,FEMME,BC Valenciennes,648,663,681
MARTIN,Dylan,1978-09-11,2976798,HOMME,BC Nantes Ouest,475,400,401
PHAM,Tom,2013-08-21,2803930,HOMME,ACBB Boulogne,441,400,400
BRUN,Hoa,2002-07-03,8046882,FEMME,Bad Var,1362,1260,1378
LEFEBVRE,Romain,1984-03-09,3480522,HOMME,BC Aix-en-Provence,1211,1142,1090
RICHARD,Hieu,2010-11-30,6784633,HOMME,Anjou Badminton,669,578,609
MERCIER,Pierre,2000-08-04,5604535,HOMME,BC Rouen Nord,1193,1170,1184
BECKER,Ambre,2005-06-24,1698906,FEMME,BC Valenciennes,,,
PEREIRA,Laurent,2010-09-03,4504577,HOMME,Levallois SC,555,,415
BERTRAND,Quentin,2012-10-21,5465729,HOMME,BC Orléans,416,491,423
WOLFF,Christine,1986-09-04,9752251,FEMME,BC Aix-en-Provence,1544,1479,1410
LEGROS,Bruno,1992-04-03,5747909,HOMME,BC Paris 15,1896,1869,1751
FOURNIER,Mai,1972-02-29,9232050,FEMME,BCMS Montpellier,695,778,520
PELLETIER,Thierry,2010-05-12,1142938,HOMME,Shuttle Villeurbanne,524,438,493
MARTIN,Amaury,2013-07-27,3156892,HOMME,BC Bayonne,449,533,400
VASSEUR,Sylvie,1960-10-23,6419421,FEMME,Shuttle Toulouse,584,445,432
BELLAMY,Héloïse,1994-03-17,1714072,FEMME,BC Caen Maritime,1476,1460,1540
MATHIEU,Bruno,1975-04-17,1996482,HOMME,BC Tours Nord,,,
DURAND,Célia,1989-03-26,3711208,FEMME,Bad Cambrai,,,
DINH,Quentin,1998-07-22,2167039,HOMME,BC Douai,1042,1112,869
LE,Zoé,2010-10-20,8480250,FEMME,Bad Saint-Étienne,692,689,570
SIMON,Noémie,2011-01-16,2335311,FEMME,Bad Var,420,400,400
FRANCOIS,Quentin,1955-01-09,9944800,HOMME,Bad Var,1244,1244,1102
PETIT,Haruka,2016-09-27,2184153,FEMME,Bad Finistère,419,400,400
FOURNIER,Raphaël,1997-04-22,2705024,HOMME,Bad Toulon,1936,1800,
MANSOURI,Pauline,1967-04-05,7214624,FEMME,BC Amboise,915,,912
MATHIEU,Aurélie,1986-04-11,7808465,FEMME,ASPTT Lyon,1249,1122,1108
COLIN,Hieu,2002-11-21,5651415,HOMME,Bad Hérault,1636,1554,1541
FOURNIER,Élodie,1987-01-14,8263798,FEMME,BC Limoges,654,512,660
LEFEVRE,Robin,2008-05-28,1762444,HOMME,Bad Ain,461,500,514
SILVA,Michel,2011-06-02,5746676,HOMME,Badminton Nantes,538,595,586
MANSOURI,Zoé,1984-03-10,3755459,FEMME,BC Nantes Ouest,,,
MOREL,Liam,1990-07-11,5866606,HOMME,CSMT Versailles,,,
MOREL,Gauthier,2000-01-18,3117788,HOMME,BC Lille,933,881,749
COLIN,Lan,2009-07-18,4552531,FEMME,Shuttle Club Lyon,686,708,726
LE,Héloïse,2011-04-07,9491843,FEMME,Alsace Badminton,449,500,400
VALENTIN,Kevin,2015-12-03,5351312,HOMME,BCMS Montpellier,,,
DUPUIS,Victor,2015-05-26,4454299,HOMME,Bad Saint-Étienne,418,400,400
GARCIA,Denis,1973-05-09,3997502,HOMME,BCMS Montpellier,912,991,766
LOPES,Gilles,2012-02-05,1371178,HOMME,BC Sélestat,426,471,504
MEYER,Erwan,1983-11-02,8622005,HOMME,BC Grenoble,1223,1143,
GUERIN,André,2008-03-30,2122641,HOMME,BC Pau,569,529,568
SIMON,Luc,1962-04-04,8957969,HOMME,Bad Toulon,630,600,487
HENRY,Saki,1995-05-26,5006584,FEMME,PUC Badminton,1948,2000,1783
FOURNIER,Tanguy,2015-02-14,1593841,HOMME,Rhône-Alpes Bad,411,400,400
PICARD,Damien,1995-03-26,7669042,HOMME,Badminton Nantes,668,744,709
LEGRAND,Duc,1990-06-04,6215882,HOMME,Bad Cambrai,513,414,400
VINCENT,Juliette,1995-06-26,8382095,FEMME,CS Lunel,1706,1578,1688
BRANDT,Baptiste,2011-01-01,4674130,HOMME,Levallois SC,426,400,400
BECKER,Alexandre,2008-09-17,2244415,HOMME,BC Orléans,705,692,638
NGUYEN,Jean,1982-09-06,7507381,HOMME,Bad Saint-Étienne,1087,1111,979
FERRY,Isabelle,2002-08-30,3717833,FEMME,CS Lunel,1766,,1670
RENAUD,Eva,2010-07-20,6646903,FEMME,Alsace Badminton,608,612,588
LECONTE,Jade,1959-08-16,9878019,FEMME,BCMS Montpellier,472,500,483
DO,Stéphane,2011-04-27,6014223,HOMME,Bad Club Bordeaux,471,400,483
VU,Ethan,2010-07-25,3191097,HOMME,BC Sélestat,469,400,423
LOPES,Loubna,2013-07-13,7008992,FEMME,Shuttle Toulouse,427,524,400
FAURE,Bryan,2017-07-30,4018269,HOMME,Bad Hérault,441,400,400
MERCIER,Lola,1994-09-13,2522272,FEMME,Shuttle Angers,1033,1048,1006
CHEVALIER,Jean,1977-03-09,9923750,HOMME,BC Valenciennes,1057,1073,1030
SCHULZ,Nathalie,2009-09-03,7522941,FEMME,US Créteil Bad,677,622,700
COTE,Hieu,2002-05-17,2385991,HOMME,BC Douai,,,
GUERIN,Gaëtan,1967-05-20,6279831,HOMME,Chartreuse Badminton,568,501,609
CHEVALIER,Thuy,2012-06-02,4826231,FEMME,ASPTT Lyon,577,540,571
MEUNIER,Pauline,2002-08-17,4879522,FEMME,ACBB Boulogne,2142,2236,2034
VASSEUR,Amaury,2009-09-12,2528939,HOMME,Anjou Badminton,433,400,400
GUICHARD,Ronan,2005-12-21,5207244,HOMME,Bad Finistère,1047,1052,1109
SCHULZ,Yasmine,2013-04-19,3810569,FEMME,BC Limoges,479,520,400
MEYER,Tristan,2013-11-01,1701806,HOMME,BC Cholet,469,540,400
PETIT,Phuong,2010-02-05,8298381,FEMME,Alsace Badminton,479,400,421
MEYER,Mickaël,2018-09-04,2040392,HOMME,BC Lille,416,488,400
AUBRY,Sophie,2002-07-27,5308858,FEMME,Racing Club Paris,1871,1949,1744
DUMAS,Pierre,1965-02-11,7830217,HOMME,Bad Amiens,,,
PELLETIER,Lan,1959-08-31,7103393,FEMME,Bad Indre,609,584,
MANSOURI,Sakura,2008-07-29,8919168,FEMME,Bad Club Bordeaux,619,651,428
BRUN,Isabelle,2009-08-05,6194376,FEMME,Île-de-France Badminton,432,456,400
MANSOURI,Jérôme,2011-04-16,3620995,HOMME,BC Sélestat,464,402,400
MEUNIER,Denis,1956-08-10,7439687,HOMME,BC Marseille,677,676,671
LOPES,Cédric,1981-03-16,7516190,HOMME,Badminton Nice,489,,400
BLANC,Emmanuel,1985-03-31,5085470,HOMME,Shuttle Villeurbanne,661,651,502
THOMAS,Yumi,2006-01-04,9984761,FEMME,BC Douai,,,
ROUSSEAU,Élodie,1958-05-31,9581460,FEMME,Bad Isère,709,582,558
LEGRAND,Pierre,2001-07-02,7355608,HOMME,BC Thiers,1370,1462,1188
HOANG,Mai,1964-11-02,1621640,FEMME,Picardie Bad,773,764,633
MARTIN,Pierre,2011-05-31,4987005,HOMME,Badminton Nice,575,501,424
VU,Claire,1988-01-06,5901598,FEMME,Grand Est Badminton,971,968,860
DUPUIS,Dina,2016-07-16,3891398,FEMME,Île-de-France Badminton,447,461,400
LOPES,Aiko,1972-04-07,2444410,FEMME,US Créteil Bad,1228,1083,1106
BRUN,Noémie,2011-10-22,3886814,FEMME,Bad Club Bordeaux,502,424,400
FERNANDEZ,Mickaël,1988-01-06,5937499,HOMME,Badminton Nantes,1351,1237,1417
ANDRE,Théo,2015-05-17,6697547,HOMME,Centre-Val Bad,431,400,400
RICHARD,Tanguy,2003-07-31,2910336,HOMME,BC Sélestat,,,
WAGNER,Julie,1995-09-28,4053126,FEMME,Bad Club Bordeaux,749,692,680
ROUSSEAU,Valérie,1967-08-21,5014329,FEMME,BC Toulon,553,,400
MAILLOT,Emmanuel,2013-03-26,2339625,HOMME,BC Chartres,452,411,436
MARCHAND,Laëtitia,2009-03-04,5809541,FEMME,BC Chartres,546,495,
FERNANDEZ,Clara,1991-12-16,5204430,FEMME,ESM Vendôme,1090,997,1094
MEYER,Jacques,1963-02-03,7698234,HOMME,Shuttle Reims,896,845,732
CARPENTIER,Michel,1969-07-08,4692546,HOMME,BC Bourg,674,665,666
BENALI,Héloïse,2005-08-16,1674359,FEMME,Île-de-France Badminton,1083,995,976
AUBRY,Yen,2013-07-13,2758429,FEMME,BC Voiron,430,406,400
DO,Isabelle,2009-07-25,2723364,FEMME,Bad Club Rennes,444,506,484
FRANCOIS,Mathilde,1998-05-21,5173595,FEMME,BC Valenciennes,1095,1169,907
ROUSSEL,Lilou,1987-07-16,4009752,FEMME,BC Valenciennes,635,639,523
GUICHARD,Mathieu,2008-06-03,8753757,HOMME,BC Rouen Nord,653,605,698
MAILLOT,Lisa,2015-08-07,4032538,FEMME,BC Limoges,443,491,489
LECONTE,Xavier,2009-08-17,9807570,HOMME,Pays de Loire Bad,671,696,534
GAUTHIER,Aurélie,2009-10-20,3686538,FEMME,Centre-Val Bad,592,629,543
SCHWARZ,Amaury,1990-11-25,1604824,HOMME,Bad Riom,1142,1116,1181
PETIT,Jean,1994-04-08,7608109,HOMME,BC Besançon,941,844,955
ANDRE,Sophie,1984-06-08,6280588,FEMME,Alsace Badminton,1225,1212,1255
PICARD,Thu,1988-08-02,6550692,FEMME,Chartreuse Badminton,594,492,449
MERCIER,Mai,2006-03-22,8284009,FEMME,BC Reims,1088,1170,909
AUBRY,Vincent,2011-01-27,8199144,HOMME,BC Metz,562,515,626
LEGRAND,Christophe,1993-11-12,8457880,HOMME,BC Tours Nord,1853,1922,1874
BRANDT,Yumi,2005-03-10,5465975,FEMME,BC Valenciennes,2133,2153,2067
SCHNEIDER,Julie,1986-12-17,5780097,FEMME,Bad Club Seine,,,
COLIN,Élodie,2011-01-07,9493484,FEMME,BC Lorient,543,540,400
HENRY,Arnaud,1977-02-17,3947966,HOMME,BC Mulhouse,950,886,978
MEUNIER,Linh,1970-06-27,1383772,FEMME,BC Quimper,1133,1036,1137
MANSOURI,Antoine,1986-07-29,6899287,HOMME,ACBB Boulogne,556,440,400
ANDRE,Michel,2012-02-19,9408308,HOMME,BC Thiers,493,,400
LEGRAND,Pauline,2009-04-28,4268784,FEMME,BC Grenoble,461,400,400
SCHNEIDER,Ngoc,2000-02-15,5752221,FEMME,BC Mulhouse,1508,1459,1408
DELORME,Marine,2002-06-10,9780144,FEMME,BC Caen Maritime,1224,1117,1270
HOFFMANN,Pierre,2009-08-24,2363567,HOMME,Bad Cambrai,526,617,423
MANSOURI,Lisa,1955-02-26,2246783,FEMME,BC Reims,449,400,527
VALENTIN,Dina,1987-11-19,2749316,FEMME,ASPTT Lyon,1535,1415,1342
BOURGEOIS,Mélanie,1979-03-03,5226693,FEMME,BC Limoges,1235,1146,1194
LAURENT,David,1999-09-28,8092207,HOMME,BC Rouen Nord,1810,1794,1623
RENAUD,Marc,2001-04-25,9867257,HOMME,BC Limoges,1584,1508,1425
BELLAMY,Nina,1979-05-19,9611356,FEMME,Bad Ardennes,495,451,420
MASSON,Romane,1998-01-05,8919616,FEMME,Bad Ain,1979,2027,2005
BECKER,Yasmine,1977-07-19,5788032,FEMME,BC Caen,1026,1057,914
LAMBERT,Elisa,2013-06-17,7511133,FEMME,Bad Dijon,475,400,400
RICHTER,Fatima,1992-01-21,4734264,FEMME,BC Cholet,630,713,561
GIRARD,Marie,1998-12-04,2318624,FEMME,Colmar Bad,,,
CARVALHO,Antoine,1962-04-01,9689889,HOMME,Bad Isère,491,400,528
LE,Mai,1987-07-28,1385216,FEMME,BC Villefranche,1448,1415,1263
COTE,Lucas,1994-05-05,4311772,HOMME,Bad Nîmes,1457,1374,1529
CARVALHO,Elisa,2012-11-26,7595996,FEMME,PACA Badminton,543,593,469
PHAM,Damien,1978-09-02,1474411,HOMME,Colmar Bad,443,400,400
TRAN,Akane,1957-08-27,6312856,FEMME,BC Voiron,956,,953
GUERIN,Gaëtan,1997-05-22,3566025,HOMME,Bad Finistère,1187,1174,1253
CARVALHO,Quoc,1966-07-23,8553509,HOMME,Shuttle Toulouse,729,715,644
WEBER,Elisa,1970-09-18,2556484,FEMME,Shuttle Grenoble,1291,1291,1315
AUBRY,Sara,1984-02-26,1999542,FEMME,ESM Vendôme,1219,1278,1254
SCHWARZ,Vinh,2004-01-08,6350866,HOMME,Levallois SC,1581,1557,1537
